nu,I,tau,Gamma',E',J',Ka',Kc',GammaRot',v1',v2',v3',v4',v5',v6',GammaVib',,"Gamma ""","E""","J""","GammaVib""","Ka""","Kc""","GammaRot""",
6527.367507,7.81E-24,1.74E-02,B1,6625.326692,5,4,1,A2,3,0,0,1,0,0,B2,<-,B2,97.959185,4,A1,3,2,B2,
6528.755848,5.50E-24,1.31E-02,B2,6792.208141,11,2,9,A2,0,0,2,0,0,1,B1,<-,B1,263.452293,12,A1,3,9,B1,
6528.885486,1.36E-24,4.88E-03,B2,6893.518744,12,4,9,A2,0,0,2,0,0,1,B1,<-,B1,364.633258,11,A1,5,7,B1,
6528.96544,1.28E-24,4.58E-03,B1,6893.598708,12,4,8,A1,0,0,2,0,0,1,B1,<-,B2,364.633268,11,A1,5,6,B2,
6528.968607,1.35E-24,1.45E-02,B2,7062.171772,9,7,2,B2,0,0,1,1,0,2,A1,<-,B1,533.203165,10,A1,7,3,B1,
6528.968608,1.35E-24,1.45E-02,B1,7062.171773,9,7,3,B1,0,0,1,1,0,2,A1,<-,B2,533.203165,10,A1,7,4,B2,
6529.259548,1.25E-24,2.40E-03,B1,6764.930489,12,2,10,A1,0,1,0,0,2,1,B1,<-,B2,235.670941,13,A1,1,12,B2,
6529.285696,1.54E-24,3.27E-03,B1,6575.112271,4,0,4,A1,0,1,0,0,2,1,B1,<-,B2,45.826575,5,A1,1,4,B2,
6529.505731,7.62E-24,1.52E-02,B1,6639.617172,6,4,3,A2,3,0,0,1,0,0,B2,<-,B2,110.111441,5,A1,3,2,B2,
6529.506356,7.62E-24,1.52E-02,B2,6639.617183,6,4,2,A1,3,0,0,1,0,0,B2,<-,B1,110.110827,5,A1,3,3,B1,
6529.518935,4.98E-24,1.13E-02,B2,6763.661995,10,2,9,A2,0,0,2,0,0,1,B1,<-,B1,234.14306,11,A1,3,9,B1,
6529.622679,1.09E-24,2.90E-03,B2,6876.946981,15,1,14,B2,0,0,1,1,0,2,A1,<-,B1,347.324302,16,A1,1,15,B1,
