vibrational_f	angmom_total_f	vibrational_i	angmom_total_i	transition_wavenumber	unc	lambda	unc	einstein_coefficient	unc	Atot	energy_f	unc	Tu	degeneracy
1	28	0	28	2334.758779	8E-06	4.283097719	1E-08	1.28E-08	2.48E-07	5.59E-06	-2785.789085	2E-05	47957.7	57
1	28	0	26	5238.581515	2E-05	1.908913696	9E-09	1.7E-06	1.7E-06	5.59E-06	-2785.789085	2E-05	47957.7	57
1	28	1	26	2688.934026	1E-05	3.718945836	2E-08	3.64E-06	3.64E-06	5.59E-06	-2785.789085	2E-05	47957.7	57
1	28	2	26	384.754916	0.0002	25.990571099	1E-05	5.25E-11	5.25E-11	5.59E-06	-2785.789085	2E-05	47957.7	57
1	29	0	29	2220.730444	7E-06	4.50302288	1E-08	8.96E-09	2.5E-07	5.56E-06	-1474.861917	2E-05	49843.8	177
1	29	0	27	5089.774101	2E-05	1.964723739	9E-09	1.86E-06	1.86E-06	5.56E-06	-1474.861917	2E-05	49843.8	177
1	29	1	27	2645.615661	1E-05	3.779838526	2E-08	3.45E-06	3.45E-06	5.56E-06	-1474.861917	2E-05	49843.8	177
1	29	2	27	454.522225	0.0002	22.001124367	8E-06	1.26E-10	1.26E-10	5.56E-06	-1474.861917	2E-05	49843.8	177
1	30	0	30	2101.056352	6E-06	4.75951061	1E-08	5.92E-09	2.49E-07	5.44E-06	-192.222663	3E-05	51689.3	61
1	30	0	28	4928.3252	2E-05	2.029086879	9E-09	2E-06	2E-06	5.44E-06	-192.222663	3E-05	51689.3	61
1	30	1	28	2593.566422	1E-05	3.855694581	2E-08	3.19E-06	3.19E-06	5.44E-06	-192.222663	3E-05	51689.3	61
1	30	2	28	521.766617	0.0001	19.16565697	4E-06	2.63E-10	2.63E-10	5.44E-06	-192.222663	3E-05	51689.3	61
2	0	0	2	7732.629624	0.002	1.293221127	3E-07	3.47E-07	3.47E-07	1.63E-06	-28031.066696	0.002	11635.4	1
2	0	1	2	3589.164236	0.0008	2.786163949	6E-07	1.28E-06	1.28E-06	1.63E-06	-28031.066696	0.002	11635.4	1
2	1	0	3	7488.275586	0.002	1.335420937	3E-07	1.6E-07	1.6E-07	1.63E-06	-27924.275021	0.002	11789	9
2	1	0	1	8075.307619	0.002	1.238342918	3E-07	1.94E-07	1.94E-07	1.63E-06	-27924.275021	0.002	11789	9
2	1	1	3	3362.402883	0.0008	2.974063593	7E-07	6.39E-07	6.39E-07	1.63E-06	-27924.275021	0.002	11789	9
2	1	1	1	3920.053759	0.0008	2.550985424	5E-07	6.36E-07	6.38E-07	1.63E-06	-27924.275021	0.002	11789	9
2	2	0	4	7237.563558	0.002	1.38168044	3E-07	1.03E-07	1.03E-07	1.63E-06	-27711.708449	0.002	12094.9	5
2	2	0	2	8051.987871	0.002	1.241929342	3E-07	1.38E-07	1.38E-07	1.63E-06	-27711.708449	0.002	12094.9	5
2	2	0	0	8406.361006	0.002	1.18957537	2E-07	1.28E-07	1.28E-07	1.63E-06	-27711.708449	0.002	12094.9	5
2	2	1	4	3134.98146	0.0008	3.189811528	8E-07	4.4E-07	4.4E-07	1.63E-06	-27711.708449	0.002	12094.9	5
2	2	1	2	3908.522483	0.0008	2.558511571	5E-07	4.49E-07	4.53E-07	1.63E-06	-27711.708449	0.002	12094.9	5
2	2	1	0	4245.194785	0.0008	2.355604514	5E-07	3.68E-07	3.68E-07	1.63E-06	-27711.708449	0.002	12094.9	5
2	2	2	0	319.358247	2E-05	31.31279713	2E-06	2.56E-11	2.56E-11	1.63E-06	-27711.708449	0.002	12094.9	5
2	3	0	5	6982.512598	0.002	1.432149224	3E-07	6.96E-08	6.96E-08	1.62E-06	-27395.36731	0.002	12550	21
2	3	0	3	8017.183297	0.002	1.247320864	3E-07	1.29E-07	1.29E-07	1.62E-06	-27395.36731	0.002	12550	21
2	3	0	1	8604.21533	0.002	1.16222103	2E-07	1.9E-07	1.9E-07	1.62E-06	-27395.36731	0.002	12550	21
2	3	1	5	2908.780292	0.0008	3.437867077	9E-07	3.17E-07	3.17E-07	1.62E-06	-27395.36731	0.002	12550	21
2	3	1	3	3891.310594	0.0008	2.569828277	5E-07	4.11E-07	4.2E-07	1.62E-06	-27395.36731	0.002	12550	21
2	3	1	1	4448.96147	0.0009	2.247715578	4E-07	4.98E-07	4.98E-07	1.62E-06	-27395.36731	0.002	12550	21
2	3	2	1	528.907711	3E-05	18.906890166	9E-07	4.13E-10	4.13E-10	1.62E-06	-27395.36731	0.002	12550	21
2	4	0	6	6725.000728	0.002	1.486988687	3E-07	4.7E-08	4.7E-08	1.6E-06	-26978.171713	0.002	13150.3	9
2	4	0	4	7971.100293	0.002	1.254531951	3E-07	1.25E-07	1.25E-07	1.6E-06	-26978.171713	0.002	13150.3	9
2	4	0	2	8785.524607	0.002	1.138235956	2E-07	2.38E-07	2.38E-07	1.6E-06	-26978.171713	0.002	13150.3	9
2	4	1	6	2685.508944	0.0008	3.723688957	1E-06	2.28E-07	2.28E-07	1.6E-06	-26978.171713	0.002	13150.3	9
2	4	1	4	3868.518195	0.0008	2.584969101	5E-07	3.91E-07	4.05E-07	1.6E-06	-26978.171713	0.002	13150.3	9
2	4	1	2	4642.059218	0.0009	2.154216379	4E-07	5.59E-07	5.59E-07	1.6E-06	-26978.171713	0.002	13150.3	9
2	4	2	2	733.536735	4E-05	13.632582423	7E-07	2.37E-09	2.37E-09	1.6E-06	-26978.171713	0.002	13150.3	9
2	5	0	7	6466.726825	0.002	1.546377367	4E-07	3.13E-08	3.13E-08	1.57E-06	-26463.872125	0.002	13890.2	33
2	5	0	5	7914.007784	0.002	1.26358228	3E-07	1.22E-07	1.23E-07	1.57E-06	-26463.872125	0.002	13890.2	33
2	5	0	3	8948.678483	0.002	1.117483438	2E-07	2.77E-07	2.77E-07	1.57E-06	-26463.872125	0.002	13890.2	33
2	5	1	7	2466.671597	0.0007	4.054045951	1E-06	1.61E-07	1.61E-07	1.57E-06	-26463.872125	0.002	13890.2	33
2	5	1	5	3840.275478	0.0008	2.60397986	5E-07	3.74E-07	3.95E-07	1.57E-06	-26463.872125	0.002	13890.2	33
2	5	1	3	4822.805779	0.0009	2.073481798	4E-07	5.77E-07	5.77E-07	1.57E-06	-26463.872125	0.002	13890.2	33
2	5	2	3	931.495185	5E-05	10.735428547	5E-07	8.38E-09	8.38E-09	1.57E-06	-26463.872125	0.002	13890.2	33
2	6	0	8	6209.185578	0.002	1.610517172	4E-07	2.04E-08	2.04E-08	1.53E-06	-25856.940837	0.002	14763.5	13
2	6	0	6	7846.231604	0.002	1.274497173	3E-07	1.21E-07	1.21E-07	1.53E-06	-25856.940837	0.002	14763.5	13
2	6	0	4	9092.331169	0.002	1.099827955	2E-07	3.07E-07	3.07E-07	1.53E-06	-25856.940837	0.002	14763.5	13
2	6	1	8	2253.546217	0.0007	4.437450594	1E-06	1.11E-07	1.11E-07	1.53E-06	-25856.940837	0.002	14763.5	13
2	6	1	6	3806.73982	0.0008	2.626919746	5E-07	3.58E-07	3.87E-07	1.53E-06	-25856.940837	0.002	14763.5	13
2	6	1	4	4989.749071	0.0009	2.004108795	3E-07	5.57E-07	5.57E-07	1.53E-06	-25856.940837	0.002	14763.5	13
2	6	2	4	1121.230876	6E-05	8.918769732	5E-07	2.23E-08	2.23E-08	1.53E-06	-25856.940837	0.002	14763.5	13
